Eigenvector(Weight),shared name,Eigenvector(Weight).1
0.177053377032279,CDKN2A,17.7053377032279
0.173355817794799,CCND1,17.3355817794799
0.147085845470428,RB1,14.708584547042799
0.102337151765823,MDM2,10.233715176582301
0.0870196148753166,TP53,8.70196148753166
0.066583901643753,PIK3CA,6.6583901643753
0.0599055476486682,ESR1,5.99055476486682
0.0564297288656234,ERBB2,5.642972886562339
0.0541324503719806,MTOR,5.41324503719806
0.0501402840018272,CDKN2B,5.01402840018272
0.0470424257218837,CDKN1A,4.704242572188369
0.0456277728080749,EGFR,4.562777280807491
0.0360376127064228,BRAF,3.6037612706422797
0.0301220081746578,PTEN,3.01220081746578
0.0280766449868679,CCNE1,2.80766449868679
0.0275558307766914,AKT1,2.7555830776691397
0.0267618224024772,MYC,2.67618224024772
0.02663529291749,CCND2,2.6635292917489997
0.0256611108779907,NRAS,2.56611108779907
0.0254691336303949,CDKN1B,2.54691336303949
0.0254145991057157,CCND3,2.54145991057157
0.022958556190133,HER2,2.2958556190133
0.0189833585172891,AKT,1.89833585172891
0.0180331133306026,BRCA1,1.8033113330602601
0.0166156534105539,BRCA2,1.66156534105539
0.0161847714334726,KRAS,1.6184771433472598
0.0157577749341726,E2F1,1.57577749341726
0.0143569502979516,MET,1.4356950297951598
0.0143420919775962,NF1,1.4342091977596199
0.0134465172886848,E2F,1.34465172886848
